state,pov
AL,14.5
AK,7.6
AZ,14.3
AR,13.8
CA,12.7
CO,9.8
CT,8.9
DE,9.3
DC,18
FL,12.5
GA,13.6
HI,7.5
ID,9.9
IL,10
IN,11.8
IA,8.9
KS,11.7
KY,15.5
LA,16.1
ME,10.9
MD,8.8
MA,11.2
MI,10.8
MN,9.3
MS,22.6
MO,12.8
MT,13
NE,9.9
NV,9.7
NH,5.8
NJ,8.7
NM,14
NY,14.5
NC,15.5
ND,9.3
OH,12.8
OK,13.4
OR,12.8
PA,10.4
RI,9.5
SC,14.1
SD,9.4
TN,14.8
TX,16.5
UT,9.6
VT,9.9
VA,8.6
WA,10.2
WV,14.8
WI,11
WY,10.9
