state,pov
AL,16.7
AK,10.9
AZ,20.2
AR,17.1
CA,14.9
CO,10.6
CT,11.3
DE,14
DC,21.3
FL,14.9
GA,16.3
HI,11.1
ID,12.9
IL,13.3
IN,11.6
IA,10.8
KS,13.2
KY,20
LA,19.2
ME,12.3
MD,10.3
MA,11.9
MI,14.5
MN,12
MS,22.5
MO,13.7
MT,14.5
NE,11
NV,17.4
NH,9
NJ,11.1
NM,21.7
NY,14.5
NC,18.6
ND,9.9
OH,13.7
OK,14
OR,15.1
PA,12.4
RI,13.5
SC,15.9
SD,10.3
TN,18.1
TX,16.8
UT,8.3
VT,8.7
VA,10.4
WA,12
WV,17.3
WI,11
WY,11.8
