state,pov
AL,17.2
AK,12.5
AZ,18.8
AR,15.3
CA,16.3
CO,12.3
CT,8.6
DE,12.2
DC,19.5
FL,16
GA,18.8
HI,12.4
ID,13.8
IL,14.1
IN,16.3
IA,10.3
KS,14.5
KY,17.7
LA,21.5
ME,12.6
MD,10.9
MA,10.9
MI,15.7
MN,10.8
MS,22.5
MO,15
MT,14.5
NE,10.2
NV,16.6
NH,6.5
NJ,11.1
NM,18.3
NY,16
NC,17.4
ND,12.6
OH,15.4
OK,16.3
OR,14.3
PA,12.2
RI,14
SC,16.9
SD,13.6
TN,16.7
TX,18.4
UT,10
VT,10.8
VA,10.7
WA,11.6
WV,16.8
WI,10.1
WY,9.6
