year,white,black,asian,hispanic
2002,15567,8602,1161,8555
2003,15902,8781,1401,9051
2004,16908,9014,1201,9122
2005,16227,9168,1402,9368
2006,16013,9048,1353,9243
2007,16032,9237,1349,9890
2008,17024,9379,1576,10987
2009,18530,9944,1746,12350
2010,19251,10746,1899,13522
2011,19171,10929,1973,13244
2012,18940,10911,1921,13616
2013,18796,11041,1785,12744
, ,,,
